ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Allow customer reviews?","Sale price","Regular price",Categories,Tags,"Shipping class",Images,Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text","Swatches Attributes",Brands,"Meta: _oembed_4212dfe0962e92c86f76e7dad3c923b1","Meta: _oembed_time_4212dfe0962e92c86f76e7dad3c923b1","Meta: _oembed_1d9a66d94f04a8b68e2b73a5b5b2f9db","Meta: _oembed_time_1d9a66d94f04a8b68e2b73a5b5b2f9db","Meta: _oembed_d966da8751d7597158e700b2375f3cf3","Meta: _oembed_time_d966da8751d7597158e700b2375f3cf3","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Meta: _oembed_2dd456273b0b28aaccb80166803af684","Meta: _oembed_3ef5ce364d5560cd41c64ee4cf017f53","Meta: _oembed_time_3ef5ce364d5560cd41c64ee4cf017f53","Meta: _oembed_6b6a49c368f1cf1f64bec9234675835b","Meta: _oembed_time_6b6a49c368f1cf1f64bec9234675835b","Meta: _oembed_cc4790564e1c731fa284472882a641be","Meta: _oembed_time_cc4790564e1c731fa284472882a641be","Meta: _oembed_2988a3eaeba6d9ca3e969e8108f158ef","Meta: _oembed_time_2988a3eaeba6d9ca3e969e8108f158ef"
94,variation,,,"Laptop - Extra Large, blue",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,iphone-pro,,,iphone-pro,,,,,,,,,,,size,"Extra Large",,0,color,blue,,0,,,,,,,,,,,,,
95,variation,,,"Laptop - Extra Large, yellow",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,iphone-pro,,,iphone-pro,,,,,,,,,,,size,"Extra Large",,0,color,yellow,,0,,,,,,,,,,,,,
96,variation,,,"Laptop - Extra Large, gold",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,iphone-pro,,,iphone-pro,,,,,,,,,,,size,"Extra Large",,0,color,gold,,0,,,,,,,,,,,,,
97,variation,,,"Laptop - Extra Large, purple",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,iphone-pro,,,iphone-pro,,,,,,,,,,,size,"Extra Large",,0,color,purple,,0,,,,,,,,,,,,,
103,variation,,,"AUTO-DRAFT - small/ large",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,id:102,,,,,,,,,,,,,,size,"small/ large",,0,,,,,,,,,,,,,,,,,
104,simple,,,Naruto,1,0,visible,"<p data-path-to-node=""4,0""><b data-path-to-node=""4,0"" data-index-in-node=""0"">""Believe it!""</b> Experience the beginning of an epic ninja legend. Naruto Uzumaki, a spirited and mischievous outcast, dreams of becoming the greatest Hokage to finally earn the respect of his village. This is the official VIZ Media English edition—perfect for new fans and collectors alike!</p>\n\n<ul data-path-to-node=""4,1"">\n 	<li>\n<p data-path-to-node=""4,1,0,0""><b data-path-to-node=""4,1,0,0"" data-index-in-node=""0"">Language:</b> English</p>\n</li>\n 	<li>\n<p data-path-to-node=""4,1,1,0""><b data-path-to-node=""4,1,1,0"" data-index-in-node=""0"">Condition:</b> Brand New</p>\n</li>\n 	<li>\n<p data-path-to-node=""4,1,2,0""><b data-path-to-node=""4,1,2,0"" data-index-in-node=""0"">Publisher:</b> VIZ Media</p>\n</li>\n</ul>","<h3 data-path-to-node=""8,0""><b data-path-to-node=""8,0"" data-index-in-node=""0"">Product Overview</b></h3>\n<p data-path-to-node=""8,1"">Embark on a journey of courage, friendship, and determination with <b data-path-to-node=""8,1"" data-index-in-node=""67"">Naruto Volume 1</b>. Join Naruto Uzumaki, a young ninja who carries a powerful and dangerous secret, as he struggles to find his place in the Hidden Leaf Village. This volume sets the stage for a sprawling adventure that has captivated millions of readers worldwide.</p>\n\n<h3 data-path-to-node=""8,2""><b data-path-to-node=""8,2"" data-index-in-node=""0"">Story Synopsis</b></h3>\n<p data-path-to-node=""8,3"">Naruto is a ninja-in-training with a heavy burden. Shunning the rules of the ninja academy and pulling pranks to get attention, he hides a lonely heart and a massive source of power within him. In this first volume, Naruto faces his first real tests, forms unexpected bonds, and takes the first step toward his ultimate dream: to become the Hokage—the leader and strongest ninja of his village.</p>\n\n<h3 data-path-to-node=""8,4""><b data-path-to-node=""8,4"" data-index-in-node=""0"">Key Features</b></h3>\n<ul data-path-to-node=""8,5"">\n 	<li>\n<p data-path-to-node=""8,5,0,0""><b data-path-to-node=""8,5,0,0"" data-index-in-node=""0"">Official English Translation:</b> High-quality localization by VIZ Media.</p>\n</li>\n 	<li>\n<p data-path-to-node=""8,5,1,0""><b data-path-to-node=""8,5,1,0"" data-index-in-node=""0"">Iconic Artwork:</b> Witness the legendary art style of Masashi Kishimoto from the very beginning.</p>\n</li>\n 	<li>\n<p data-path-to-node=""8,5,2,0""><b data-path-to-node=""8,5,2,0"" data-index-in-node=""0"">Must-Have for Fans:</b> Whether you're a long-time fan or just starting, this volume is an essential piece for any manga collection.</p>\n</li>\n</ul>",,,taxable,,1,,,0,0,1,,,"Anime > Naruto, Uncategorized",Naruto,,http://localhost/vandung1/wp-content/uploads/2026/06/images-7.jpg,,,,,,,,Naruto,"<iframe title=""iPhone 17 Pro | Chính hãng"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/3s49ddWEluo?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",1781574172,,,,,,,,,,,,,,,,,,,,,,,,,
105,variable,OP-VOL-01,,"One Piece",1,0,visible,"""Set sail on the greatest adventure of all time! Follow Monkey D. Luffy and his ragtag crew of Straw Hat Pirates as they traverse the Grand Line in search of the ultimate treasure—the One Piece. Along the way, they’ll face legendary foes, uncover dark secrets, and fight for their dreams. It’s more than just a quest for gold; it’s a story about freedom, loyalty, and the bond of true friendship. Are you ready to join the crew?""","https://www.youtube.com/watch?v=WNIJC40o-Lo&amp;t=7s\n<p data-path-to-node=""4,0"">""In a world dominated by the vast, unpredictable seas, a single title is sought by every pirate: the King of the Pirates. Monkey D. Luffy, a boy with a body made of rubber and a heart of gold, sets out from the East Blue to fulfill his promise and claim the legendary treasure left behind by Gol D. Roger.</p>\n<p data-path-to-node=""4,1""><i data-path-to-node=""4,1"" data-index-in-node=""0"">One Piece</i> is a sprawling epic that blends high-seas action, world-building, and profound emotional depth. As Luffy recruits unique allies—from a master swordsman to a genius navigator—each member brings their own tragic past and unwavering ambition. Prepare to laugh, cry, and be inspired by one of the greatest adventures ever told.""</p>",,,taxable,,1,,,0,0,1,,,"Anime, Anime > One Piece","One Piece",,"http://localhost/vandung1/wp-content/uploads/2026/06/5-hinh-nen-one-piece-4k-cho-dien-thoai-inkythuatso-25-16-52-30.jpg, http://localhost/vandung1/wp-content/uploads/2026/06/download2.jpg, http://localhost/vandung1/wp-content/uploads/2026/06/download-1.jpg",,,id:104,id:104,,,"{""Color999"":{""name"":""Color999"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#2165ed"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#f92222"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}","One Piece",,,,,,,Format,"Hardcover, Parperback, Leather",1,0,Language,"English, Vietnamese",1,0,Color999,"Blue, Green, Red, Yellow",1,1,{{unknown}},"<iframe title=""Zoro,Luffy &amp; Nami Vs Axe Hand Fight Scene 🔥 | Netflix ONE PIECE |"" width=""1052"" height=""592"" src=""https://www.youtube.com/embed/WNIJC40o-Lo?start=7&amp;feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",1781488642,"<iframe title=""Zoro,Luffy &amp; Nami Vs Axe Hand Fight Scene 🔥 | Netflix ONE PIECE |"" width=""1089"" height=""613"" src=""https://www.youtube.com/embed/WNIJC40o-Lo?start=7&amp;feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",1781488650,"<iframe title=""Zoro,Luffy &amp; Nami Vs Axe Hand Fight Scene 🔥 | Netflix ONE PIECE |"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/WNIJC40o-Lo?start=7&amp;feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",1781488651,"<iframe title=""Zoro,Luffy &amp; Nami Vs Axe Hand Fight Scene 🔥 | Netflix ONE PIECE |"" width=""1290"" height=""726"" src=""https://www.youtube.com/embed/WNIJC40o-Lo?start=7&amp;feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",1781928082
206,variable,ONEPIECE-EP1,,"One Piece - Episode 1",1,0,visible,"The beginning of the grand adventure.","Join Monkey D. Luffy on his journey to become the Pirate King in this first episode.",,,taxable,,1,50,,0,0,1,,,"One Piece","Anime, One Piece",,,,,,,,,,"One Piece",,,,,,,,,,,,,,,,,,,,,,,,,,,
213,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,12,15,,,,http://localhost/vandung1/wp-content/uploads/2026/06/download-1.jpg,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Hardcover,,0,Language,English,,0,Color999,Blue,,1,,,,,,,,,
214,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Hardcover,,0,Language,English,,0,Color999,Green,,1,,,,,,,,,
215,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Hardcover,,0,Language,English,,0,Color999,Red,,1,,,,,,,,,
216,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Hardcover,,0,Language,English,,0,Color999,Yellow,,1,,,,,,,,,
217,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Hardcover,,0,Language,Vietnamese,,0,Color999,Blue,,1,,,,,,,,,
218,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Hardcover,,0,Language,Vietnamese,,0,Color999,Green,,1,,,,,,,,,
219,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Hardcover,,0,Language,Vietnamese,,0,Color999,Red,,1,,,,,,,,,
220,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Hardcover,,0,Language,Vietnamese,,0,Color999,Yellow,,1,,,,,,,,,
221,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Parperback,,0,Language,English,,0,Color999,Blue,,1,,,,,,,,,
222,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Parperback,,0,Language,English,,0,Color999,Green,,1,,,,,,,,,
223,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Parperback,,0,Language,English,,0,Color999,Red,,1,,,,,,,,,
224,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Parperback,,0,Language,English,,0,Color999,Yellow,,1,,,,,,,,,
225,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Parperback,,0,Language,Vietnamese,,0,Color999,Blue,,1,,,,,,,,,
226,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Parperback,,0,Language,Vietnamese,,0,Color999,Green,,1,,,,,,,,,
227,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,15,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Parperback,,0,Language,Vietnamese,,0,Color999,Red,,1,,,,,,,,,
228,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Parperback,,0,Language,Vietnamese,,0,Color999,Yellow,,1,,,,,,,,,
229,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Leather,,0,Language,English,,0,Color999,Blue,,1,,,,,,,,,
230,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Leather,,0,Language,English,,0,Color999,Green,,1,,,,,,,,,
231,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Leather,,0,Language,English,,0,Color999,Red,,1,,,,,,,,,
232,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Leather,,0,Language,English,,0,Color999,Yellow,,1,,,,,,,,,
233,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Leather,,0,Language,Vietnamese,,0,Color999,Blue,,1,,,,,,,,,
234,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Leather,,0,Language,Vietnamese,,0,Color999,Green,,1,,,,,,,,,
235,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Leather,,0,Language,Vietnamese,,0,Color999,Red,,1,,,,,,,,,
236,variation,,,"One Piece",1,0,visible,,,,,taxable,parent,1,,,0,0,0,,,,,,,OP-VOL-01,,,id:104,,,,,,,,,,,Format,Leather,,0,Language,Vietnamese,,0,Color999,Yellow,,1,,,,,,,,,
